,Date,MeanTemp
45587,2007-11-01,16.15
45588,2007-11-02,20.45
45589,2007-11-03,18.549999999999997
45590,2007-11-04,14.4
45591,2007-11-05,11.850000000000001
45592,2007-11-06,11.549999999999999
45593,2007-11-07,12.149999999999999
45594,2007-11-08,12.65
45595,2007-11-09,14.15
45596,2007-11-10,15.600000000000001
45597,2007-11-11,17.15
45598,2007-11-12,17.9
45599,2007-11-13,19.0
45600,2007-11-14,21.5
45601,2007-11-15,20.65
45602,2007-11-16,22.25
45603,2007-11-17,22.5
45604,2007-11-18,20.85
45605,2007-11-19,22.349999999999998
45606,2007-11-20,24.5
45607,2007-11-21,24.35
45608,2007-11-22,17.9
45609,2007-11-23,15.65
45610,2007-11-24,18.15
45611,2007-11-25,21.9
45612,2007-11-26,21.25
45613,2007-11-27,17.75
45614,2007-11-28,20.45
45615,2007-11-29,19.7
45616,2007-11-30,18.85
45617,2007-12-01,17.75
45618,2007-12-02,18.95
45619,2007-12-03,20.4
45620,2007-12-04,19.9
45621,2007-12-05,18.15
45622,2007-12-06,21.55
45623,2007-12-07,21.5
45624,2007-12-08,22.35
45625,2007-12-09,22.2
45626,2007-12-10,19.85
45627,2007-12-11,15.15
45628,2007-12-12,16.6
45629,2007-12-13,14.95
45630,2007-12-14,18.0
45631,2007-12-15,20.0
45632,2007-12-16,18.3
45633,2007-12-17,16.25
45634,2007-12-18,14.2
45635,2007-12-19,16.9
45636,2007-12-20,17.85
45637,2007-12-21,22.15
45638,2007-12-22,20.95
45639,2007-12-23,14.799999999999999
45640,2007-12-24,18.4
45641,2007-12-25,16.5
45642,2007-12-26,18.05
45643,2007-12-27,20.5
45644,2007-12-28,21.7
45645,2007-12-29,23.0
45646,2007-12-30,25.2
45647,2007-12-31,23.65
45648,2008-01-01,23.900000000000002
45649,2008-01-02,24.65
45650,2008-01-03,19.65
45651,2008-01-04,21.0
45652,2008-01-05,19.8
45653,2008-01-06,24.200000000000003
45654,2008-01-07,25.2
45655,2008-01-08,23.4
45656,2008-01-09,23.7
45657,2008-01-10,24.450000000000003
45658,2008-01-11,26.65
45659,2008-01-12,28.3
45660,2008-01-13,25.4
45661,2008-01-14,19.4
45662,2008-01-15,24.599999999999998
45663,2008-01-16,25.55
45664,2008-01-17,20.15
45665,2008-01-18,17.75
45666,2008-01-19,17.450000000000003
45667,2008-01-20,20.95
45668,2008-01-21,17.9
45669,2008-01-22,16.25
45670,2008-01-23,17.15
45671,2008-01-24,19.05
45672,2008-01-25,20.55
45673,2008-01-26,20.75
45674,2008-01-27,22.25
45675,2008-01-28,24.25
45676,2008-01-29,25.9
45677,2008-01-30,26.45
45678,2008-01-31,22.700000000000003
45679,2008-02-01,19.9
45680,2008-02-02,21.85
45681,2008-02-03,23.35
45682,2008-02-04,20.4
45683,2008-02-05,19.8
45684,2008-02-06,20.5
45685,2008-02-07,19.35
45686,2008-02-08,16.15
45687,2008-02-09,15.649999999999999
45688,2008-02-10,16.1
45689,2008-02-11,17.45
45690,2008-02-12,19.35
45691,2008-02-13,15.399999999999999
45692,2008-02-14,16.4
45693,2008-02-15,18.0
45694,2008-02-16,18.65
45695,2008-02-17,18.1
45696,2008-02-18,18.3
45697,2008-02-19,19.25
45698,2008-02-20,20.45
45699,2008-02-21,20.55
45700,2008-02-22,20.65
45701,2008-02-23,18.9
45702,2008-02-24,17.9
45703,2008-02-25,18.7
45704,2008-02-26,20.6
45705,2008-02-27,19.65
45706,2008-02-28,16.05
45707,2008-02-29,13.049999999999999
45708,2008-03-01,13.100000000000001
45709,2008-03-02,15.899999999999999
45710,2008-03-03,17.8
45711,2008-03-04,19.15
45712,2008-03-05,19.8
45713,2008-03-06,22.35
45714,2008-03-07,20.0
45715,2008-03-08,18.45
45716,2008-03-09,19.95
45717,2008-03-10,22.1
45718,2008-03-11,24.3
45719,2008-03-12,22.5
45720,2008-03-13,23.15
45721,2008-03-14,23.049999999999997
45722,2008-03-15,24.5
45723,2008-03-16,21.799999999999997
45724,2008-03-17,20.95
45725,2008-03-18,21.2
45726,2008-03-19,20.65
45727,2008-03-20,20.4
45728,2008-03-21,13.9
45729,2008-03-22,15.600000000000001
45730,2008-03-23,18.85
45731,2008-03-24,18.95
45732,2008-03-25,15.25
45733,2008-03-26,16.4
45734,2008-03-27,11.350000000000001
45735,2008-03-28,11.3
45736,2008-03-29,12.8
45737,2008-03-30,11.549999999999999
45738,2008-03-31,14.2
45739,2008-04-01,12.65
45740,2008-04-02,14.3
45741,2008-04-03,10.65
45742,2008-04-04,9.649999999999999
45743,2008-04-05,12.299999999999999
45744,2008-04-06,13.850000000000001
45745,2008-04-07,14.3
45746,2008-04-08,12.899999999999999
45747,2008-04-09,12.55
45748,2008-04-10,15.049999999999999
45749,2008-04-11,15.25
45750,2008-04-12,15.100000000000001
45751,2008-04-13,13.45
45752,2008-04-14,11.8
45753,2008-04-15,13.05
45754,2008-04-16,12.8
45755,2008-04-17,13.15
45756,2008-04-18,13.8
45757,2008-04-19,12.25
45758,2008-04-20,13.399999999999999
45759,2008-04-21,11.5
45760,2008-04-22,12.25
45761,2008-04-23,13.25
45762,2008-04-24,11.85
45763,2008-04-25,12.95
45764,2008-04-26,12.75
45765,2008-04-27,13.3
45766,2008-04-28,7.800000000000001
45767,2008-04-29,5.8500000000000005
45768,2008-04-30,6.5
45769,2008-05-01,8.8
45770,2008-05-02,9.700000000000001
45771,2008-05-03,8.8
45772,2008-05-04,7.8999999999999995
